OBJECTID,GLOBAL,CODE,STATUSOBJECT,JNEXTERN,JNINTERN,JNRVZ,EXTERN_DR_HOOGTE,EXTERN_DR_BREEDTE,INTERN_BERGING_M3,RIOLERINGSGEBIEDID,TYPERGD,GEOMETRY,datakey,metadatakey
66,44A44774-A942-4D06-8FC0-9C2C75D528CF,SCH-SCH-DUZ-34,planvorming,ja,nee,nee,9.0,2.0,,5ff9d8af-4903-46f5-ac51-166f78736cc5  ,Verbeterd gescheiden stelsel,POINT (160820.789999999 401830.940000002 0.0),44A44774-A942-4D06-8FC0-9C2C75D528CF,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
67,9AFE8B57-F1A7-43DA-B561-6C049B4B8FB7,GEM-GEM-GEE-6,planvorming,ja,nee,nee,14.3,3.0,,dff33543-9985-4640-88b0-9f039402c67a  ,Gemengd gerioleerdgebied,POINT (175470.032000002 396062.564000001 0.0),9AFE8B57-F1A7-43DA-B561-6C049B4B8FB7,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
68,7BE8F281-50CB-413C-97E6-AD86F4A57253,BOX-BOX-MAA-28,planvorming,ja,nee,nee,12.47,0.3,,c614fc85-e465-437e-b8e9-aea53322f482  ,Verbeterd gescheiden stelsel,POINT (193294.386999998 408068.025000002 0.0),7BE8F281-50CB-413C-97E6-AD86F4A57253,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
69,BD782CF7-9722-46D8-951E-F47DF3E0647A,HER-HER-NOO-127,planvorming,ja,nee,nee,2.16,3.0,,a6917522-952d-4cb1-af84-a2bc02c3f6a6  ,Gemengd gerioleerdgebied,POINT (150957.039000001 413330.767999999 0.0),BD782CF7-9722-46D8-951E-F47DF3E0647A,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
70,AE05A21A-5BE4-4DAB-B17E-413A1448A1BA,HER-HER-ZUI-47,planvorming,ja,nee,nee,3.5,3.0,,7128849f-5a0b-42e3-aaa9-739ba346eab9  ,Gemengd gerioleerdgebied,POINT (150286.372000001 410412.764 0.0),AE05A21A-5BE4-4DAB-B17E-413A1448A1BA,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
71,31CA4B8B-BFB4-4677-952D-142EE0EC3F9A,VEG-VEG-ZUI-17,planvorming,ja,nee,nee,8.77,2.32,,67769d90-749d-441b-8b2c-d9f0db3578a4  ,Gemengd gerioleerdgebied,POINT (166658.877 402247.065000003 0.0),31CA4B8B-BFB4-4677-952D-142EE0EC3F9A,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
72,115640EB-3938-49ED-BBF7-D05C949456B9,HER-HER-MUT-61,planvorming,ja,nee,nee,4.91,1.0,,b813dbef-b62a-4178-941d-d8486003d240  ,Verbeterd gescheiden stelsel,POINT (150023.973999999 411514.218 0.0),115640EB-3938-49ED-BBF7-D05C949456B9,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
73,16BEB42D-7923-4C8D-A08A-15A289B85EA1,OSS-OSS-DOM-22,planvorming,None,None,None,,,,f12f62f8-af32-438c-bef7-d933fd065fcb  ,None,POINT (165194.818 421525.702000001 0.0),16BEB42D-7923-4C8D-A08A-15A289B85EA1,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
74,742D9101-5A49-42CE-9093-B5B74D27F942,BOE-HUI-LOG-15,planvorming,ja,nee,nee,19.88,1.5,,72d7c545-b7c9-41d9-8238-6661b6f068eb  ,Gemengd gerioleerdgebied,POINT (177290.078000002 399822.711 0.0),742D9101-5A49-42CE-9093-B5B74D27F942,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
75,C2D59D83-F0E8-4BA3-B1FA-1B22154EA7E7,GEM-GEM-WES-1,planvorming,ja,nee,ja,13.59,7.3,460.0,84a46030-cb47-48cc-97f0-9ba58296042b  ,Gemengd gerioleerdgebied,POINT (175068.195 395680.197000002 0.0),C2D59D83-F0E8-4BA3-B1FA-1B22154EA7E7,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
