OBJECTID,CODE,DOORSTROOMBREEDTE,LAAGSTEDOORSTROOMHOOGTE,HOOGSTEDOORSTROOMHOOGTE,HOOGTECONSTRUCTIE,STATUSLEGGERWATERSYSTEEM,STATUSLEGGERWATERVEILIGHEID,INDICATOR,GEOMETRY,datakey,metadatakey
1717,108RSA,0.5700000000000001,7.66,8.53,8.52,Vastgesteld,Niet van toepassing,L,POINT (178989.686000001 416756.965999998),108RSA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1718,104FZD,1.5,13.22,13.73,13.74,Vastgesteld,Niet van toepassing,L,POINT (173360.874899998 416633.788199998),104FZD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1719,105BFA,0.75,17.56,18.400000000000002,18.650000000000002,Vastgesteld,Niet van toepassing,L,POINT (176462.607000001 410528.359999999),105BFA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1720,104FEV,0.8,12.370000000000001,12.97,13.42,Vastgesteld,Niet van toepassing,L,POINT (171198.5418 416933.173799999),104FEV,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1721,104FGW,1.35,8.4,8.96,9.4,Vastgesteld,Niet van toepassing,L,POINT (177729.767000001 417013.322000001),104FGW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1722,104FZB,1.25,10.0,10.53,10.790000000000001,Vastgesteld,Niet van toepassing,L,POINT (173339.385000002 417237.785999998),104FZB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1723,105VLW,2.5500000000000003,14.14,15.49,15.8,Vastgesteld,Niet van toepassing,L,POINT (176626.217 413647.359000001),105VLW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1724,105OUS,0.9,11.89,12.5,12.67,Vastgesteld,Niet van toepassing,L,POINT (178547.818999998 414700.798),105OUS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1725,105PCS,0.99,15.8,16.87,17.25,Vastgesteld,Niet van toepassing,L,POINT (174785.140999999 414102.427999999),105PCS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1726,106UGT,1.5,7.640000000000001,8.39,8.68,Vastgesteld,Niet van toepassing,L,POINT (186467.807500001 416797.1745),106UGT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1727,107EQP,0.61,17.42,18.28,18.28,Vastgesteld,Niet van toepassing,L,POINT (177978.438999999 409282.219999999),107EQP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1728,251L,2.48,20.38,21.68,21.68,Vastgesteld,Niet van toepassing,L,POINT (179676.857000001 396378.366),251L,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1729,108GW,0.76,9.8,10.48,11.16,Vastgesteld,Niet van toepassing,L,POINT (187294.436999999 409442.328000002),108GW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1730,211JP,1.76,13.84,13.84,13.84,Vastgesteld,Niet van toepassing,L,POINT (171429.721999999 406651.035),211JP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1731,108RLA,0.5700000000000001,7.55,8.370000000000001,8.36,Vastgesteld,Niet van toepassing,L,POINT (179979.250999998 416904.364),108RLA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1732,105AHS,0.85,17.94,18.77,19.11,Vastgesteld,Niet van toepassing,L,POINT (175362.364999998 410816.247000001),105AHS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1733,105NXS,0.91,14.89,15.96,16.21,Vastgesteld,Niet van toepassing,L,POINT (177670.222800002 413239.8675),105NXS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1734,105NXV,0.5700000000000001,14.48,15.370000000000001,15.35,Vastgesteld,Niet van toepassing,L,POINT (177666.903999999 413588.463),105NXV,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1735,105OVS,0.9,10.950000000000001,11.52,11.65,Vastgesteld,Niet van toepassing,L,POINT (178692.458999999 414828.885000002),105OVS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1736,107EGS,0.81,15.58,16.28,16.57,Vastgesteld,Niet van toepassing,L,POINT (181027.473000001 408495.074000001),107EGS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1737,107EHS,0.85,14.700000000000001,15.280000000000001,15.71,Vastgesteld,Niet van toepassing,L,POINT (180945.017999999 409098.258000001),107EHS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1738,107GHC,0.6900000000000001,18.900000000000002,19.740000000000002,19.76,Vastgesteld,Niet van toepassing,L,POINT (178786.866 405000.519000001),107GHC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1739,292AD,1.0,25.36,26.12,26.400000000000002,Vastgesteld,Niet van toepassing,L,POINT (181550.100000001 374677.346000001),292AD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1740,104FAW,0.61,15.07,15.92,15.92,Vastgesteld,Niet van toepassing,L,POINT (171908.631999999 415728.144000001),104FAW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1741,104FGS,0.5700000000000001,8.3,8.950000000000001,8.98,Vastgesteld,Niet van toepassing,L,POINT (177650.445 416891.93),104FGS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1742,105ADH,0.58,16.45,17.29,17.29,Vastgesteld,Niet van toepassing,L,POINT (178847.822000001 410788.326000001),105ADH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1743,105PBR,0.6,14.97,15.83,15.83,Vastgesteld,Niet van toepassing,L,POINT (175997.427999999 414092.210999999),105PBR,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1744,105PDS,1.75,14.94,15.84,16.44,Vastgesteld,Niet van toepassing,L,POINT (175931.103999998 414304.760000002),105PDS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1745,104ESW,1.0,3.95,4.54,4.96,Vastgesteld,Niet van toepassing,L,POINT (168157.283 422338.872000001),104ESW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1746,104L,3.0,4.62,5.48,5.82,Vastgesteld,Niet van toepassing,L,POINT (168328.752999999 421815.638),104L,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1747,104Y,1.98,4.17,5.47,5.92,Vastgesteld,Niet van toepassing,L,POINT (170614.785 423801.778999999),104Y,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1748,108AZ,0.7000000000000001,19.76,20.56,20.86,Vastgesteld,Niet van toepassing,L,POINT (183655.199999999 404456.436999999),108AZ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1749,104ESU,1.5,3.62,4.99,5.3,Vastgesteld,Niet van toepassing,L,POINT (167024.921999998 423400.186999999),104ESU,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1750,102LWG,1.0,1.01,2.0100000000000002,3.67,Vastgesteld,Niet van toepassing,L,POINT (147779.552999999 416097.342999999),102LWG,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1751,AKW5,1.5,9.44,11.02,15.34,Vastgesteld,Vastgesteld,L,POINT (194641.07 406653.215),AKW5,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1752,234HSD,2.7,15.38,15.38,15.38,Vastgesteld,Niet van toepassing,L,POINT (171953.763 387775.780000001),234HSD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1753,253GEN,2.6,19.150000000000002,19.17,19.18,Vastgesteld,Niet van toepassing,L,POINT (179301.592 391527.111000001),253GEN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1754,229TMD,0.39,7.66,8.120000000000001,9.15,Vastgesteld,Niet van toepassing,L,POINT (167439.024 404645.192000002),229TMD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1755,211RMH,0.5,16.28,16.8,17.98,Vastgesteld,Niet van toepassing,L,POINT (172020.136 408334.870000001),211RMH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1756,211GMZ,0.5,16.0,16.5,17.63,Vastgesteld,Niet van toepassing,L,POINT (172158.030000001 408620.574000001),211GMZ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1757,107GHD,0.6900000000000001,18.71,19.56,19.57,Vastgesteld,Niet van toepassing,L,POINT (178914.960999999 405377.747000001),107GHD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
