index,hydroobject_CODE,endpoint_hydroobject_CODE
1549,1057620,1057610
1551,1038970,1030330
1552,1030130,1030330
1554,1035450,04555
1556,2511470,01970
1558,1016430,01972
1560,02918,01974
1562,2113410,01975
1564,2340590,01976
1566,03190,01977
1568,02157,01978
1570,03584,01979
1572,1049330,01858
1574,1081735,01703
1576,00315,01753
1578,1143180,01925
1579,03788,01925
1582,2111210,2111200
1584,2112520,2112510
1586,2112800,2112640
1587,2112790,2112640
1589,2051150,2051140
1591,2110460,2110450
1593,2110540,2110530
1595,1060530,1060440
1596,1060540,1060440
1597,1060440,1060435
1600,06079,06071
1602,06079,06075
1604,2110880,2110870
1606,2042280,2042250
1607,2042270,2042250
1609,2043330,2043310
1610,2043340,2043310
1612,2031340,2031330
1613,2031350,2031330
1615,2030415,2030501
1617,2031030,2031040
1618,2031050,2031040
1620,01638,2031100
1621,2031120,2031100
1623,1183860,1183840
1624,1171750,1171810
1626,1171980,1171810
1629,2112600,00560
1630,1141080,1141070
1633,1141380,1141370
1634,1141240,1141370
1636,1142950,1142800
1637,1142940,1142800
1639,2112610,2112600
1641,1121010,1121000
1643,1121330,1121320
1645,1130030,1130020
1647,1130220,1130210
1648,1130120,1130210
1650,1130230,1130220
1652,1081560,1081550
1653,2800420,2800410
1655,2800410,00103
1657,03956,00103
1659,1182220,00166
1660,1182230,1182220
1662,1182210,1182220
1664,2342990,02244
1666,1081735,1081740
1667,1081750,1081740
1669,1081790,1081785
1671,1081805,1081800
1672,1083360,1083350
1674,1083270,1083350
1676,1084060,1084050
1678,1071450,1071440
1679,1071250,1071440
1681,1072270,1072220
1682,1072280,1072220
1684,1072455,1072450
1685,1072490,1072450
1686,1072640,1072630
1688,1072635,1072630
1690,1073050,1073030
1692,1073095,1073090
1694,1052740,1052730
1695,1053120,1053110
1698,1057720,1057660
1699,1057700,1057660
1701,1057420,1057720
1702,1057730,1057720
1704,1045655,1045630
1705,1045631,1045630
1707,1046510,1046500
1709,1046800,1046770
1710,1046720,1046770
1711,1046810,1046770
1713,1040200,1040160
1714,1040210,1040160
1716,1041235,1041220
1718,1043070,1043060
1719,1042190,1043060
1721,1033850,1033840
1723,1038410,1038300
1724,1038408,1038300
1726,1083660,1083700
1727,1083710,1083700
1729,1035000,1048399
1731,2171195,2171190
1733,1013410,1013520
1734,1013530,1013520
1736,2940076,2940050
1737,2940074,2940050
1739,2511380,2511375
1741,2611450,2611430
1743,2613450,2613558
1744,2613560,2613558
1746,2800560,2800550
1748,2870650,2870640
1750,2750020,2750010
1751,2750021,2750010
1753,2750330,2750320
1755,2750500,2750495
1757,2750550,2750540
1758,2750560,2750540
1760,2611180,2611160
1761,2611170,2611160
1763,2611550,2611540
1764,2611720,2611629
1767,2612700,2612690
1769,2613396,2613400
1770,2613410,2613400
1772,2560190,2560081
1773,2560195,2560081
1775,2580068,2580065
1777,2610310,2610300
1778,2610305,2610300
1779,2610371,2610365
1781,2610335,2610365
1782,2610370,2610365
1784,2610750,2610740
1786,2511410,2511407
1788,2510580,2480060
1789,2510578,2480060
1791,2510500,2510480
1792,2510495,2510480
1793,2340930,2340910
1795,2340920,2340910
1797,2341435,2341430
1798,06046,2341430
1800,2342880,2342860
1801,2342870,2342860
1802,2343340,2343330
1805,2172200,2172190
1807,2230050,2230030
1808,2230040,2230030
1810,2010440,2690050
1811,2010435,2690050
1813,2270510,2270530
1814,2270540,2270530
1816,2270680,2270670
1818,01187,2300010
1819,2300020,2300010
1821,2870510,05679
1823,2870190,05682
1825,05688,05687
1827,1090040,1090020
1829,1082010,1082050
1830,1082060,1082050
1832,1084895,1084985
1833,1084990,1084985
1835,2511250,2511240
1837,03860,00903
1838,2940050,00904
1841,1047340,00905
1844,1181087,00907
1846,1182380,00908
1847,06201,00908
1849,2042370,00909
1851,2010890,00910
1852,2042720,00911
1854,04137,00911
1856,02758,00912
1858,1010400,00913
1860,2044040,01257
1861,2531160,01258
1864,1181240,01259
1865,1121000,01260
1867,00689,01260
1869,1183910,01261
1871,02582,01262
1872,01289,01262
1874,2171630,01263
1875,2171670,01263
1876,2171680,01263
1877,2343330,01264
1880,1143080,01265
1882,1030090,01267
1884,03854,01268
1886,01169,01269
1888,2530165,01270
1890,2043050,00416
1892,2800060,00415
1896,3200267,00420
1898,02090,00421
1900,2041365,00423
1902,1016600,00425
1904,03873,00426
1906,1083500,00428
1908,00130,00429
1911,03505,01118
1912,00825,01118
1914,1051700,01119
1916,04083,01120
1918,00306,01121
1919,00358,01121
1921,01513,01122
1923,2042350,01123
1925,01856,01126
1926,03663,01126
1928,1183400,01127
1930,2560270,01128
1932,1146000,01129
